method,model,accuracy,precision,recall,f1,precision_class0,recall_class0,precision_class1,recall_class1
Baseline,Logistic Regression,0.9700996677740864,1.0,0.9108910891089109,0.9533678756476683,0.9569377990430622,1.0,1.0,0.9108910891089109
Baseline,Naive Bayes,0.9833887043189369,1.0,0.9504950495049505,0.9746192893401016,0.975609756097561,1.0,1.0,0.9504950495049505
Baseline,Random Forest,0.9800664451827242,0.9797979797979798,0.9603960396039604,0.97,0.9801980198019802,0.99,0.9797979797979798,0.9603960396039604
Class Weights,Logistic Regression,0.9800664451827242,1.0,0.9405940594059405,0.9693877551020408,0.970873786407767,1.0,1.0,0.9405940594059405
Class Weights,Random Forest,0.9800664451827242,0.9797979797979798,0.9603960396039604,0.97,0.9801980198019802,0.99,0.9797979797979798,0.9603960396039604
SMOTE,Logistic Regression,0.9800664451827242,1.0,0.9405940594059405,0.9693877551020408,0.970873786407767,1.0,1.0,0.9405940594059405
SMOTE,Naive Bayes,0.973421926910299,0.9696969696969697,0.9504950495049505,0.96,0.9752475247524752,0.985,0.9696969696969697,0.9504950495049505
SMOTE,Random Forest,0.9833887043189369,0.98,0.9702970297029703,0.9751243781094527,0.9850746268656716,0.99,0.98,0.9702970297029703
Random Oversample,Logistic Regression,0.9800664451827242,1.0,0.9405940594059405,0.9693877551020408,0.970873786407767,1.0,1.0,0.9405940594059405
Random Oversample,Naive Bayes,0.9700996677740864,0.96,0.9504950495049505,0.9552238805970149,0.9751243781094527,0.98,0.96,0.9504950495049505
Random Oversample,Random Forest,0.9800664451827242,0.9797979797979798,0.9603960396039604,0.97,0.9801980198019802,0.99,0.9797979797979798,0.9603960396039604
Random Undersample,Logistic Regression,0.9800664451827242,1.0,0.9405940594059405,0.9693877551020408,0.970873786407767,1.0,1.0,0.9405940594059405
Random Undersample,Naive Bayes,0.9667774086378738,0.941747572815534,0.9603960396039604,0.9509803921568627,0.9797979797979798,0.97,0.941747572815534,0.9603960396039604
Random Undersample,Random Forest,0.9700996677740864,0.9423076923076923,0.9702970297029703,0.9560975609756097,0.9847715736040609,0.97,0.9423076923076923,0.9702970297029703
